iter	Passed	Remaining
0	1086	1085488
1	1716	856587
2	2417	803320
3	3057	761325
4	3667	729834
5	4298	712060
6	5003	709792
7	5648	700447
8	6274	690873
9	6926	685750
10	7544	678308
11	8147	670813
12	8817	669439
13	9457	666073
14	10131	665291
15	10770	662389
16	11399	659185
17	12028	656237
18	12696	655516
19	13335	653463
20	13959	650771
21	14581	648209
22	15179	644819
23	15829	643747
24	16452	641657
25	17075	639664
26	17730	638957
27	18345	636848
28	18951	634541
29	19582	633167
30	20256	633164
31	20921	632889
32	21609	633233
33	22211	631056
34	22849	629985
35	23479	628738
36	24106	627411
37	24703	625398
38	25344	624517
39	25936	622478
40	26531	620575
41	27138	619012
42	27777	618200
43	28411	617298
44	29069	616929
45	29665	615228
46	30273	613845
47	30909	613047
48	31512	611605
49	32140	610672
50	32769	609770
51	33377	608506
52	34027	608000
53	34649	607015
54	35316	606802
55	36019	607184
56	36652	606370
57	37288	605612
58	37905	604564
59	38517	603438
60	39120	602191
61	39710	600774
62	40298	599353
63	40948	598868
64	41541	597559
65	42140	596353
66	42744	595229
67	43382	594598
68	43971	593296
69	44573	592186
70	45166	590978
71	45789	590179
72	46438	589704
73	47055	588826
74	47661	587819
75	48273	586909
76	48905	586231
77	49524	585403
78	50130	584429
79	50769	583845
80	51374	582873
81	52019	582367
82	52625	581413
83	53222	580381
84	53864	579840
85	54533	579572
86	55167	578939
87	55831	578613
88	56450	577825
89	57083	577174
90	57695	576320
91	58316	575557
92	58936	574788
93	59546	573924
94	60182	573315
95	60810	572633
96	61436	571928
97	62045	571070
98	62713	570758
99	63329	569968
100	63918	568938
101	64520	568035
102	65119	567112
103	65757	566528
104	66368	565711
105	66997	565057
106	67640	564514
107	68263	563805
108	68876	563015
109	69487	562217
110	70149	561830
111	70802	561364
112	71478	561071
113	72107	560415
114	72750	559864
115	73386	559259
116	74028	558693
117	74640	557902
118	75242	557050
119	75879	556452
120	76535	555987
121	77207	555643
122	77832	554950
123	78469	554351
124	79102	553717
125	79730	553051
126	80370	552464
127	81001	551823
128	81678	551490
129	82340	551046
130	83025	550754
131	83661	550135
132	84298	549526
133	84908	548739
134	85526	548004
135	86147	547287
136	86761	546531
137	87428	546109
138	88113	545799
139	88731	545065
140	89376	544501
141	90035	544019
142	90669	543380
143	91286	542646
144	91956	542225
145	92628	541815
146	93300	541397
147	93931	540739
148	94599	540298
149	95218	539572
150	95818	538740
151	96434	538000
152	97066	537353
153	97727	536868
154	98399	536433
155	99009	535664
156	99637	534997
157	100270	534353
158	100937	533891
159	101558	533180
160	102203	532599
161	102831	531930
162	103428	531102
163	104053	530421
164	104654	529616
165	105270	528889
166	105877	528120
167	106472	527291
168	107095	526605
169	107770	526171
170	108440	525715
171	109134	525369
172	109747	524630
173	110393	524050
174	111038	523467
175	111664	522791
176	112267	522012
177	112896	521352
178	113530	520716
179	114171	520114
180	114797	519442
181	115417	518742
182	116023	517983
183	116629	517228
184	117238	516481
185	117892	515937
186	118517	515265
187	119132	514552
188	119754	513867
189	120383	513215
190	120980	512423
191	121588	511684
192	122210	511006
193	122833	510327
194	123499	509829
195	124143	509239
196	124747	508490
197	125373	507825
198	125990	507125
199	126608	506435
200	127218	505707
201	127891	505234
202	128531	504628
203	129166	504002
204	129799	503369
205	130387	502561
206	131033	501980
207	131657	501312
208	132282	500649
209	132938	500103
210	133558	499419
211	134185	498765
